Pedigree1,Pedigree2,Person1,Person2,theoretical_kinship,empiric_kinship,fishers_zscore
14,14,26732,264,0.0,0.10955177290095937,5.319415124407314
31,31,15884,19770,0.25,0.15036393933482875,-4.235498826942647
23,23,9943,392,0.125,0.02251325814013174,-4.2015535825455155
25,14,22041,16636,0.0,0.09697145162111136,4.751369546398303
25,25,11822,24192,0.25,0.15922926641123167,-3.829746599631705
14,14,25732,264,0.125,0.21662170527013563,4.625145827767764
25,25,3012,3016,0.125,0.213888229421578,4.497104762114046
25,17,23404,12004,0.0,-0.08964368333717095,-3.6094260556838575
25,23,23404,19279,0.0,-0.08779674019625365,-3.526265896661079
17,14,26857,264,0.0,0.08599533238366008,4.256907411509726
10040,8,234,5226,0.0,-0.08597090497694686,-3.4440828524769898
23,19,743,8344,0.0,-0.08565428615278961,-3.4298341175428866
19,19,22375,720,0.125,0.040507761313068706,-3.396892960032841
25,23,23404,743,0.0,-0.08319521328516832,-3.319195219883584
10040,8,234,13234,0.0,-0.08058838496627364,-3.2019582271889697
23,8,3121,19099,0.0,-0.0792374779832027,-3.1412234382245585
10040,8,234,7395,0.0,-0.07915304629676077,-3.137427950688977
10040,8,234,19099,0.0,-0.07892085915904545,-3.126990623025687
17,17,908,10418,0.25,0.17459583334366346,-3.123612102909873
31,23,19770,3760,0.0,-0.07838260715797815,-3.102796478222149
31,31,152,19770,0.125,0.04727285018922859,-3.0941024403802944
14,14,25732,25732,0.5,0.5562798258652266,3.895752156400714
10040,11,234,7670,0.0,-0.07725333335181728,-3.0520428717994545
25,17,24192,12004,0.0,-0.07693671452766002,-3.037814493324625
25,17,23404,19113,0.0,-0.07691560660604956,-3.036865959585245
23,19,743,23699,0.0,-0.0768522828412181,-3.0340203769532232
17,8,12004,5226,0.0,-0.07675729719397092,-3.029752055237046
23,19,3760,8344,0.0,-0.07638790856578746,-3.01315362077467
10029,17,434,12004,0.0,-0.07607128974163022,-2.9989271413117473
10040,25,234,3012,0.0,-0.07607128974163022,-2.9989271413117473
25,17,1269,12004,0.0,-0.07576522487827822,-2.9851755330597625
31,17,26817,26857,0.0,0.07564189683371805,3.791359764360147
17,3,12004,17445,0.0,-0.07559636150539435,-2.977588713597903
17,17,26857,26857,0.5,0.5543590049986726,3.7716871444849343
23,23,25271,9943,0.0625,-0.012631431341322842,-2.9540384404996085
25,25,24192,398,0.125,0.0506501176469059,-2.9428724564815694
24,17,15061,12004,0.0,-0.0747731525625855,-2.940605750217961
24,17,19621,12004,0.0,-0.07463595107211736,-2.9344423694835418
17,17,11361,309,0.125,0.0509561825102579,-2.9291647276496544
29,23,5986,19279,0.0,-0.0742665624439339,-2.9178492823665856
28,14,21962,264,0.0,0.07419600420339995,3.72640510663189
23,3,743,21688,0.0,-0.0736333247956194,-2.8894061173590653
22,17,2381,26857,0.0,0.07345722694703302,3.6932220217986806
23,23,19279,9943,0.125,0.05210656423802924,-2.877638719326404
23,17,3760,22601,0.0,-0.07328504408904643,-2.8737635148252236
23,23,19279,18496,0.125,0.05304586674969574,-2.8355624369466983
23,5,743,21999,0.0,-0.07234574157737993,-2.83157988106294
25,25,1269,11822,0.25,0.18103374943486086,-2.82663013521318
23,5,19279,21999,0.0,-0.07194469106678074,-2.8135706513866623
28,17,9782,26857,0.0,0.07177914717899961,3.6178624095161727
23,17,19279,12004,0.0,-0.07174416581148116,-2.804566428657798
23,8,25256,19099,0.0,-0.07163862620342874,-2.7998274687097946
28,14,9782,25732,0.0,0.07156806796289479,3.6083845138888613
17,5,19113,21999,0.0,-0.07141699302651866,-2.7898758871439373
19,1,10272,9218,0.0,-0.07106871231994569,-2.774238326906172
23,17,743,12004,0.0,-0.07106871231994569,-2.774238326906172
31,31,10372,10372,0.5,0.4447561220362384,-2.7730424689263855
10040,11,234,182,0.0,-0.07101594251591949,-2.7718690675654396
10008,31,92,19770,0.0,-0.07097372667269852,-2.769973672943724
